Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Cobi Hamilton,PIT,WR,11,28,17,60.7,234,2,39,8.4,13.8,0,0,0.0,0,0,0,3.2,35.4,2016
Paul Richardson,SEA,WR,15,36,21,58.3,288,1,39,8.0,13.7,1,5,5.0,0,0,0,2.4,35.3,2016
Deonte Thompson,CHI,WR,16,36,22,61.1,249,2,24,6.9,11.3,0,0,0.0,0,1,1,2.2,34.9,2016
Bryan Walters,JAX,WR,10,34,24,70.6,231,2,23,6.8,9.6,1,4,4.0,0,1,1,3.4,33.5,2016
Corey Brown,CAR,WR,16,53,27,50.9,276,1,27,5.2,10.2,2,6,3.0,0,1,1,2.0,32.2,2016
Geronimo Allison,GB,WR,10,22,12,54.5,202,2,39,9.2,16.8,0,0,0.0,0,0,0,3.2,32.2,2016
Eric Decker,NYJ,WR,3,21,9,42.9,194,2,35,9.2,21.6,0,0,0.0,0,0,0,10.5,31.4,2016
Rod Streater,SF,WR,16,27,18,66.7,191,2,25,7.1,10.6,0,0,0.0,0,0,0,1.9,31.1,2016
Jordan Taylor,DEN,WR,16,25,16,64.0,209,2,35,8.4,13.1,0,0,0.0,0,1,1,1.9,30.9,2016
Andre Holmes,LV,WR,16,25,14,56.0,126,3,23,5.0,9.0,0,0,0.0,0,0,0,1.9,30.6,2016
Tanner McEvoy,SEA,WR,14,11,9,81.8,140,2,42,12.7,15.6,0,0,0.0,0,0,0,2.0,27.72,2016
Chester Rogers,IND,WR,14,34,19,55.9,273,0,36,8.0,14.4,0,0,0.0,0,2,0,2.0,27.3,2016
Bennie Fowler,DEN,WR,13,24,11,45.8,145,2,76,6.0,13.2,0,0,0.0,0,0,0,2.0,26.5,2016
Jeff Janis,GB,WR,16,19,11,57.9,93,1,25,4.9,8.5,2,38,19.0,1,0,0,1.6,25.1,2016
Jaron Brown,ARI,WR,7,23,11,47.8,187,1,51,8.1,17.0,0,0,0.0,0,0,0,3.5,24.7,2016
Charone Peake,NYJ,WR,15,35,19,54.3,186,0,27,5.3,9.8,0,0,0.0,1,0,0,1.6,24.6,2016
Jalin Marshall,NYJ,WR,10,24,14,58.3,162,2,27,6.8,11.6,0,0,0.0,0,4,2,2.4,24.2,2016
Charles Johnson,MIN,WR,16,37,20,54.1,232,0,40,6.3,11.6,0,0,0.0,0,0,0,1.4,23.2,2016
Andre Roberts,DET,WR,16,25,14,56.0,188,1,44,7.5,13.4,0,0,0.0,0,2,1,1.4,22.8,2016
Marquess Wilson,CHI,WR,3,16,9,56.2,160,1,35,10.0,17.8,0,0,0.0,0,0,0,7.3,22.0,2016
Roger Lewis,NYG,WR,13,19,7,36.8,97,2,30,5.1,13.9,0,0,0.0,0,0,0,1.7,21.7,2016
Jordan Norwood,DEN,WR,14,32,18,56.2,214,1,36,6.7,11.9,1,0,0.0,0,5,3,1.5,21.4,2016
Harry Douglas,TEN,WR,11,22,15,68.2,210,0,35,9.5,14.0,0,0,0.0,0,0,0,1.9,21.0,2016
Andre Johnson,TEN,WR,8,23,9,39.1,85,2,20,3.7,9.4,0,0,0.0,0,0,0,2.6,20.5,2016
Ricardo Louis,CLE,WR,16,36,18,50.0,205,0,42,5.7,11.4,0,0,0.0,0,1,0,1.3,20.5,2016
Freddie Martino,TB,WR,13,11,8,72.7,142,1,43,12.9,17.8,0,0,0.0,0,0,0,1.6,20.2,2016
Cody Core,CIN,WR,8,27,17,63.0,200,0,50,7.4,11.8,0,0,0.0,0,0,0,2.5,20.0,2016
Kevin White,CHI,WR,4,36,19,52.8,187,0,32,5.2,9.8,1,9,9.0,0,0,0,4.9,19.6,2016
Josh Huff,TB,WR,10,23,16,69.6,113,1,17,4.9,7.1,4,15,3.8,0,0,0,1.9,18.8,2016
Arrelious Benn,JAX,WR,15,10,5,50.0,116,1,51,11.6,23.2,0,0,0.0,0,0,0,1.2,17.6,2016
Vincent Jackson,TB,WR,5,32,15,46.9,173,0,18,5.4,11.5,0,0,0.0,0,0,0,3.5,17.3,2016
Brandon Tate,BUF,WR,15,12,8,66.7,117,0,34,9.8,14.6,3,48,16.0,0,0,0,1.1,16.5,2016
Braxton Miller,HOU,WR,10,28,15,53.6,99,1,12,3.5,6.6,3,0,0.0,0,0,0,1.6,15.9,2016
Cecil Shorts,TB,WR,9,27,11,40.7,152,0,22,5.6,13.8,0,0,0.0,0,0,0,1.7,15.2,2016
Greg Salas,BUF,WR,2,6,4,66.7,89,1,71,14.8,22.2,0,0,0.0,0,0,0,7.4,14.9,2016
Walter Powell,BUF,WR,9,25,14,56.0,142,0,35,5.7,10.1,0,0,0.0,0,0,0,1.6,14.2,2016
Chris Harper,SF,WR,9,21,13,61.9,133,0,19,6.3,10.2,0,0,0.0,0,0,0,1.5,13.3,2016
Markus Wheaton,PIT,WR,3,9,4,44.4,51,1,30,5.7,12.8,0,0,0.0,0,0,0,4.4,13.1,2016
Jaelen Strong,HOU,WR,8,24,14,58.3,131,0,36,5.5,9.4,0,0,0.0,0,0,0,1.6,13.1,2016
Jarius Wright,MIN,WR,8,14,11,78.6,67,1,11,4.8,6.1,0,0,0.0,0,0,0,1.6,12.7,2016
Paul Turner,PHI,WR,4,14,9,64.3,126,0,41,9.0,14.0,0,0,0.0,0,0,0,3.2,12.6,2016
Brittan Golden,ARI,WR,12,14,8,57.1,82,1,22,5.9,10.2,0,0,0.0,0,1,1,1.0,12.2,2016
Neal Sterling,JAX,WR,10,16,12,75.0,110,0,17,6.9,9.2,0,0,0.0,0,0,0,1.1,11.0,2016
Lucky Whitehead,DAL,WR,15,3,3,100.0,48,0,35,16.0,16.0,10,82,8.2,0,3,1,0.7,11.0,2016
Demarcus Ayers,PIT,WR,2,13,6,46.2,53,1,15,4.1,8.8,2,-12,-6.0,0,0,0,5.0,10.1,2016
James Wright,CIN,WR,13,19,13,68.4,106,0,15,5.6,8.2,2,-6,-3.0,0,0,0,0.8,10.0,2016
Jeremy Ross,ARI,WR,6,4,4,100.0,37,1,15,9.2,9.2,0,0,0.0,0,0,0,1.6,9.7,2016
TJ Jones,DET,WR,3,14,5,35.7,93,0,36,6.6,18.6,0,0,0.0,0,0,0,3.1,9.3,2016
Leonte Carroo,MIA,WR,14,6,3,50.0,29,1,15,4.8,9.7,0,0,0.0,0,0,0,0.6,8.9,2016
Tommylee Lewis,NO,WR,12,11,7,63.6,76,0,26,6.9,10.9,3,11,3.7,0,2,0,0.7,8.7,2016
Bryce Treggs,PHI,WR,9,12,3,25.0,80,0,58,6.7,26.7,2,7,3.5,0,0,0,1.0,8.7,2016
Pharoh Cooper,LAR,WR,11,20,14,70.0,106,0,23,5.3,7.6,0,0,0.0,0,0,0,0.8,8.6,2016
Rashard Higgins,CLE,WR,16,12,6,50.0,77,0,19,6.4,12.8,0,0,0.0,0,0,0,0.5,7.7,2016
Cody Latimer,DEN,WR,12,15,8,53.3,76,0,16,5.1,9.5,0,0,0.0,0,0,0,0.6,7.6,2016
Ryan Grant,WAS,WR,16,19,9,47.4,76,0,17,4.0,8.4,0,0,0.0,0,0,0,0.5,7.6,2016
Wendall Williams,HOU,WR,3,7,4,57.1,75,0,32,10.7,18.8,0,0,0.0,0,0,0,2.5,7.5,2016
Michael Campanaro,BAL,WR,3,1,0,0.0,0,0,0,0.0,0.0,3,72,24.0,0,0,0,2.4,7.2,2016
Alex Erickson,CIN,WR,16,8,6,75.0,71,0,20,8.9,11.8,0,0,0.0,0,3,0,0.4,7.1,2016
Keith Mumphery,HOU,WR,11,12,10,83.3,69,0,11,5.8,6.9,0,0,0.0,0,0,0,0.6,6.9,2016
Aaron Burbridge,SF,WR,16,16,7,43.8,88,0,24,5.5,12.6,0,0,0.0,0,1,1,0.4,6.8,2016
Josh Doctson,WAS,WR,2,6,2,33.3,66,0,57,11.0,33.0,0,0,0.0,0,0,0,3.3,6.6,2016
Maurice Harris,WAS,WR,10,12,8,66.7,66,0,15,5.5,8.2,0,0,0.0,0,1,0,0.7,6.6,2016
Chris Moore,BAL,WR,15,16,7,43.8,46,0,13,2.9,6.6,3,19,6.3,0,1,0,0.4,6.5,2016
De'Anthony Thomas,KC,WR,12,9,7,77.8,35,0,15,3.9,5.0,4,29,7.2,0,0,0,0.5,6.4,2016
Trevor Davis,GB,WR,11,7,3,42.9,24,1,9,3.4,8.0,0,0,0.0,0,2,1,0.6,6.4,2016
Keenan Allen,LAC,WR,1,7,6,85.7,63,0,15,9.0,10.5,0,0,0.0,0,0,0,6.3,6.3,2016
Nick Williams,ATL,WR,2,7,5,71.4,59,0,19,8.4,11.8,0,0,0.0,0,0,0,3.0,5.9,2016
Johnny Holton,LV,WR,15,3,2,66.7,34,0,30,11.3,17.0,6,43,7.2,0,1,1,0.4,5.7,2016
Dwayne Harris,NYG,WR,16,1,1,100.0,13,1,13,13.0,13.0,0,0,0.0,0,3,1,0.3,5.3,2016
Ifeanyi Momah,ARI,WR,5,4,2,50.0,50,0,27,12.5,25.0,0,0,0.0,0,0,0,1.0,5.0,2016
Tavarres King,NYG,WR,7,4,2,50.0,50,0,44,12.5,25.0,0,0,0.0,0,0,0,0.7,5.0,2016
Quan Bray,IND,WR,6,4,3,75.0,36,0,22,9.0,12.0,1,7,7.0,0,0,0,0.7,4.3,2016
Bradley Marquez,LAR,WR,14,7,3,42.9,37,0,13,5.3,12.3,1,2,2.0,0,0,0,0.3,3.9,2016
Shane Wynn,JAX,WR,5,3,1,33.3,19,0,19,6.3,19.0,2,5,2.5,0,0,0,0.5,2.4,2016
DeAndre Smelter,SF,WR,2,1,1,100.0,23,0,23,23.0,23.0,0,0,0.0,0,0,0,1.2,2.3,2016
Griff Whalen,NE,WR,8,4,2,50.0,22,0,12,5.5,11.0,0,0,0.0,0,0,0,0.3,2.2,2016
Devin Street,IND,WR,5,6,1,16.7,20,0,20,3.3,20.0,0,0,0.0,0,0,0,0.4,2.0,2016
Devin Smith,NYJ,WR,4,3,1,33.3,20,0,20,6.7,20.0,0,0,0.0,0,0,0,0.5,2.0,2016
Percy Harvin,BUF,WR,2,4,2,50.0,6,0,5,1.5,3.0,1,11,11.0,0,0,0,0.8,1.7,2016
Brenton Bersin,CAR,WR,10,6,2,33.3,17,0,10,2.8,8.5,0,0,0.0,0,0,0,0.2,1.7,2016
Mike Thomas,LAR,WR,15,9,3,33.3,37,0,16,4.1,12.3,0,0,0.0,0,1,1,0.1,1.7,2016
Damiere Byrd,CAR,WR,1,1,1,100.0,16,0,16,16.0,16.0,0,0,0.0,0,0,0,1.6,1.6,2016
Marc Mariani,TEN,WR,16,0,0,0.0,0,0,0,0.0,0.0,1,15,15.0,0,1,0,0.1,1.5,2016
Laquon Treadwell,MIN,WR,9,3,1,33.3,15,0,15,5.0,15.0,0,0,0.0,0,0,0,0.2,1.5,2016
Je'Ron Hamm,SF,WR,5,4,2,50.0,13,0,7,3.2,6.5,0,0,0.0,0,0,0,0.3,1.3,2016
Rashad Greene,JAX,WR,8,8,5,62.5,32,0,9,4.0,6.4,0,0,0.0,0,4,1,0.2,1.2,2016
Jeremy Butler,LAC,WR,4,2,2,100.0,11,0,6,5.5,5.5,0,0,0.0,0,0,0,0.3,1.1,2016
Tony Washington,JAX,WR,2,1,1,100.0,9,0,9,9.0,9.0,0,0,0.0,0,0,0,0.4,0.9,2016
Rashad Ross,WAS,WR,5,1,1,100.0,8,0,8,8.0,8.0,0,0,0.0,0,0,0,0.2,0.8,2016
Jared Abbrederis,GB,WR,5,2,1,50.0,8,0,8,4.0,8.0,0,0,0.0,0,0,0,0.2,0.8,2016
Paul McRoberts,LAR,WR,2,1,1,100.0,6,0,6,6.0,6.0,0,0,0.0,0,0,0,0.3,0.6,2016
George Farmer,SEA,WR,2,3,1,33.3,4,0,4,1.3,4.0,1,1,1.0,0,0,0,0.2,0.5,2016
Jordan Payton,CLE,WR,4,3,1,33.3,3,0,3,1.0,3.0,0,0,0.0,0,0,0,0.1,0.3,2016
Eric Weems,ATL,WR,16,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Isaiah Burse,LAC,WR,9,4,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Vince Mayle,BAL,WR,6,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Tony Lippett,MIA,WR,16,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Geremy Davis,LAC,WR,3,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Dezmin Lewis,BUF,WR,1,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Mario Alford,CLE,WR,3,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Tre McBride,TEN,WR,2,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Kasen Williams,SEA,WR,1,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Donteea Dye,TB,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Isaac Fruechte,MIN,WR,1,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Demarcus Robinson,KC,WR,16,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Daniel Braverman,CHI,WR,3,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Rashawn Scott,MIA,WR,2,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Tevaun Smith,IND,WR,2,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Jake Lampman,NO,WR,6,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
Bralon Addison,CHI,WR,2,1,1,100.0,11,0,11,11.0,11.0,1,4,4.0,0,1,1,-0.2,-0.5,2016
Matthew Slater,NE,WR,13,1,0,0.0,0,0,0,0.0,0.0,1,5,5.0,0,2,1,-0.1,-1.5,2016
Jakeem Grant Sr.,MIA,WR,16,1,0,0.0,0,0,0,0.0,0.0,1,1,1.0,0,4,1,-0.1,-1.9,2016
Devin Hester,BAL,WR,12,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,5,1,-0.2,-2.0,2016
Keshawn Martin,SF,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1,1,-2.0,-2.0,2016
Kalif Raymond,DEN,WR,4,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,2,1,-0.5,-2.0,2016
